controller,pkg_controller,pkg_domain,pkg_repository,repository,architecture,pkg_infrastructure,service,repo_name,pkg_service,configuration,pkg_usecase,pkg_application,component,total_java_files
1,1,4,2,1,clean,2,0,clean-architecture-spring-sample,2,0,,7,0,13
1,1,2,3,2,clean,3,0,Clean-Architecture-SpringBoot,,1,2,2,0,11
2,1,13,3,0,clean,6,1,clean-architecture-template,1,2,2,5,2,30
2,2,3,3,1,clean,,1,clean-architecture-with-spring-boot,,2,7,2,0,22
2,2,,1,1,clean,,1,clean-spring-boot-architecture,1,10,,,4,22
9,5,15,4,0,clean,,5,clean-spring-boot-project,11,2,,2,3,63
1,4,1,2,0,clean,8,0,cleanarc,,1,1,4,0,14
1,5,2,4,1,clean,,0,CleanArch,,5,8,2,8,45
1,2,6,4,0,clean,6,0,cleanarchitecture,,6,4,2,3,29
2,4,,5,2,clean,2,2,CleanArchitecture.Java,3,2,,3,2,26
1,1,2,2,0,clean,3,0,cleanarchitecturedemo,2,1,,8,0,14
3,12,14,,0,clean,,2,cleanArchitectureFQ,12,2,5,2,5,54
3,3,7,9,0,clean,10,1,CleanArchitectureSpringBoot,,0,6,22,0,44
1,1,,1,0,clean,,0,CleanArchitectureWebDemo,,3,,2,0,15
2,4,,,3,clean,,4,CleanArhitectureWithAndroidAndSpringBoot,1,0,5,60,0,69
5,,81,5,5,clean,5,5,cleancards,46,5,,2,0,132
4,3,16,3,3,clean,,9,CleanCommerceJava,3,1,21,26,4,65
1,1,1,2,0,clean,8,0,cleanva,,1,1,5,0,15
8,8,,2,1,clean,49,0,clean_arch-demo-todo_in_spring,,0,108,2,18,120
1,4,1,2,1,clean,8,0,clean_architecture,,1,1,4,0,14
1,1,2,,0,clean,5,3,clean_architecture_spring_boot,1,0,1,5,2,15
1,1,1,2,0,clean,4,0,Clean_Arch_With_Spring,,1,2,6,0,11
1,,,3,0,clean,,0,Clearn-Architecture-Demo,,2,9,1,0,19
3,3,2,6,4,clean,,0,cloud-notes,2,3,2,3,0,31
3,3,,2,0,clean,,1,Cloud-Vendor,4,0,,2,0,16
2,1,,1,1,clean,,0,coffee-order-spring,,1,,2,1,18
5,6,17,14,4,clean,29,4,Commercia-360-API,8,1,5,28,12,75
6,6,,1,0,clean,,6,contact-list-clean-arch,,0,6,2,1,20
3,3,11,8,6,clean,25,6,copilot-demo-spring-taskmanager,11,6,2,20,6,65
1,2,,1,0,clean,,2,country-service-app,9,0,,2,2,9
2,1,15,4,1,clean,6,1,course-clean-arch,1,4,2,5,1,40
3,3,,3,3,clean,,3,course-management-system,6,0,,2,0,20
2,2,5,,0,clean,,1,covid-combat_clean-arch,,0,1,,0,27
2,1,2,3,1,clean,7,5,cqrs-clean-architecture-mapstruct-jpa,,2,,9,2,23
3,3,15,4,0,clean,,9,cqrs-customer,8,2,,11,0,60
0,,8,1,1,clean,36,0,cred-reportes-svc,7,12,6,5,11,49
