controller,pkg_controller,pkg_domain,pkg_repository,repository,architecture,pkg_infrastructure,service,repo_name,pkg_service,configuration,pkg_usecase,pkg_application,component,total_java_files
2,2,4,1,1,clean,,0,Spring-Boot-Clean-Architecture-master,,0,,18,5,28
8,11,13,25,5,clean,,4,Spring-Boot-Clean-Architecture-POC,1,13,62,1,11,148
1,1,19,6,2,clean,,1,spring-boot-clean-architecture-sample,32,1,,13,4,32
2,2,3,1,1,clean,15,3,spring-boot-clean-architecture-template,3,4,2,11,5,40
2,3,2,1,0,clean,,0,spring-boot-clean-architecture-test,2,3,1,7,4,23
1,1,,1,0,clean,,0,Spring-Boot-Clean-Structure,,0,,2,1,8
1,4,1,2,0,clean,,0,spring-boot-cleanarch,,0,1,5,0,14
0,,,,0,clean,,0,spring-boot-cleanarch-client-cli,,0,,2,0,6
4,3,,2,1,clean,,4,spring-boot-crud,5,0,,6,0,19
1,1,,1,0,clean,,0,spring-boot-crud-api,,0,,1,0,4
13,10,,4,3,clean,,11,Spring-Boot-Cruds,17,2,,31,0,82
4,7,,2,0,clean,,5,spring-boot-demo,43,2,,1,7,61
8,8,,6,0,clean,,3,spring-boot-ecommerce-api,4,3,,2,2,52
4,5,22,3,0,clean,,2,spring-boot-example,7,3,,2,9,73
0,,,,0,clean,,0,spring-boot-hateoas,,0,,2,0,2
0,,,,0,clean,,0,spring-boot-hexagon-arch,,0,,2,0,2
4,6,7,8,4,clean,,0,spring-boot-jpa-api-rest-clean-architecture,14,4,10,37,1,72
4,4,,,4,clean,,4,spring-boot-jpa-relation-crud-api,4,0,,2,0,18
1,2,,2,2,clean,,2,spring-boot-jwt-rest-api-clean-architecture,1,2,,8,2,27
0,,,2,2,clean,,0,Spring-boot-MapStruct-Lombok,,1,,2,0,11
3,1,38,6,3,clean,20,2,Spring-Boot-Microservices,80,11,,24,15,80
1,1,,1,0,clean,,1,spring-boot-patient-app,2,0,,2,0,7
1,3,,,0,clean,,0,Spring-boot-projects,,1,,35,4,36
2,2,,,2,clean,,2,spring-boot-QuizzApp,2,0,,2,0,12
1,1,4,1,0,clean,,1,spring-boot-rest,3,0,4,2,1,16
1,1,,,1,clean,,1,Spring-boot-restFulAPI-Employee-FULL-CRUD-,2,0,,2,0,8
2,2,,1,0,clean,,0,spring-boot-sample,,2,3,3,2,24
2,2,,2,0,clean,,2,spring-boot-security-iii,2,0,,2,0,10
1,1,,1,0,clean,,1,spring-boot-software-engineers,1,0,,2,0,6
1,1,,1,1,clean,,1,spring-boot-student-api,1,0,,2,0,6
1,1,7,,0,clean,,0,Spring-Boot-template,2,2,,9,0,27
2,1,6,,0,clean,3,2,spring-boot-template-clean-architecture,2,5,2,10,2,28
2,1,,1,1,clean,,1,spring-boot-todo-app-postgresql,2,0,,2,1,12
2,1,,1,0,clean,,2,spring-boot-url-shortener,3,3,,3,0,18
0,,,2,1,clean,,1,spring-boot-user-demo,3,0,,1,0,7
0,,,,1,clean,,1,spring-boot-user-demo-project,3,0,,1,0,7
0,,18,1,0,clean,10,0,spring-boot-with-clean-architecture,,2,20,26,4,54
6,9,,2,0,clean,,0,spring-challenge-api,,2,18,2,5,65
2,1,13,3,0,clean,,1,spring-chat,2,1,,4,0,31
1,1,,1,1,clean,,1,spring-clean-api,1,0,,2,0,6
1,1,13,5,0,clean,,0,spring-clean-arch-poc,2,0,18,21,7,38
2,1,50,2,2,clean,,1,spring-clean-arch-template,1,0,7,2,3,75
1,1,1,2,0,clean,8,0,spring-clean-architecture,,1,2,5,0,15
1,1,,1,1,clean,7,3,spring-clean-architecture-example,,0,,2,0,16
1,1,,1,0,clean,,1,spring-clean-tech-api,2,0,,2,0,7
0,,,,0,clean,,0,spring-commander,,0,,,1,7
9,8,,8,8,clean,,8,spring-commerce,15,1,,2,4,68
5,4,13,17,2,clean,18,9,spring-ewallet,9,2,9,35,9,97
3,1,33,6,3,clean,19,1,spring-food-ordering-system,50,11,,19,10,74
1,5,2,4,1,clean,,0,spring-kafka,,6,8,2,7,45
7,10,,4,4,clean,,9,spring-library-solid,28,6,,1,15,91
2,2,,1,0,clean,,1,spring-product-demo,2,0,,2,0,13
4,,2,5,0,clean,,0,Spring-Quarkus-Clean-Architecture,11,1,,15,0,39
1,,8,4,2,clean,5,1,spring-reactive-boilerplate,,0,3,2,0,18
1,1,,,0,clean,,1,spring-security-demo,1,1,,2,0,8
2,,,2,1,clean,,2,Spring-Simple-Clean-Architecture,4,1,,2,0,15
11,10,9,3,1,clean,,6,spring-study,5,4,4,22,8,77
2,7,1,4,0,clean,,0,spring-tdd-clean-example,,1,5,1,1,21
3,4,5,6,2,clean,9,5,spring-todo,10,1,,3,1,30
0,,,,0,clean,,0,spring-users-clean-api,,0,,2,0,2
2,1,,,1,clean,,2,spring6,1,5,,1,2,20
5,2,20,1,0,clean,15,1,SpringBoot-Angular-cleanArchitecture,2,2,2,2,4,55
2,2,,1,1,clean,,1,SpringBoot-API-Exception-Handler,2,0,,2,2,18
5,5,2,,0,clean,,2,springboot-api-validations,4,0,2,7,1,24
2,2,,2,2,clean,,1,springboot-app-auth,2,1,,2,2,23
7,6,,,0,clean,,8,springboot-blog-api,14,1,,2,8,62
5,13,,4,0,clean,,4,SpringBoot-BookApp,5,1,,2,7,53
10,9,,9,9,clean,,9,springboot-church-api,18,1,,2,0,97
1,5,2,4,1,clean,,0,SpringBoot-Clean-Architecture,,6,8,2,7,45
3,3,33,2,0,clean,26,0,springboot-clean-architecture-boilerplate,,4,24,31,2,83
4,4,7,3,3,clean,,1,SpringBoot-Clean-Architecture-JWT-Security,2,1,,16,6,42
5,5,,5,0,clean,,1,springboot-clean-architecture-template,1,2,,2,0,20
4,15,17,6,0,clean,18,6,springboot-cleanarch-template,3,1,3,5,6,55
2,2,4,4,2,clean,7,1,SpringBoot-CleanArchitecture-CRUD-JPA-SqlServer,3,2,2,5,0,15
2,4,4,4,2,clean,,2,springboot-core-rest-api,4,1,,2,2,23
1,1,3,1,1,clean,1,1,springboot-crud,2,0,,3,0,12
1,1,,1,0,clean,,1,Springboot-crud-dto-architecture,2,1,,2,0,10
2,2,,,0,clean,,2,springboot-customer-api,2,0,,2,0,14
2,2,,2,2,clean,,2,springboot-delivery-optimization,2,0,,18,1,18
0,,,,0,clean,,0,springboot-demo,,0,,2,0,2
7,6,,10,5,clean,,8,Springboot-ecommerce-api,15,2,,2,4,70
2,1,,1,0,clean,,1,springboot-exception-handling-api,2,0,,2,0,10
0,,,5,0,clean,,2,springboot-jpa-hospital-app,2,0,,2,0,17
20,19,,,10,clean,,16,SpringBoot-Projects,38,2,,30,0,111
1,1,,1,0,clean,,1,springboot-rest-api,2,0,,2,0,12
2,2,,2,2,clean,,1,Springboot-REST-API-Template,1,1,,2,1,19
2,1,,,1,clean,,1,springboot-rest-crud-employee,2,0,,2,0,11
6,5,,2,0,clean,,0,springBoot-RESTApi-cleanArchitecture,22,1,,2,1,22
1,1,,1,1,clean,,1,springboot-shoppingmall,1,0,,1,0,5
2,2,2,1,0,clean,,1,SpringBootAPIDDD,1,0,,5,1,16
1,5,2,4,1,clean,,0,SpringBootCleanArchitecture,,6,8,2,7,45
3,1,,2,1,clean,,1,springbootcrud,3,1,,,0,9
0,,,,0,clean,,0,SpringBootCurdOperaions,,0,,,0,6
1,1,,1,1,clean,,1,SpringBootDemoProject,1,0,,2,1,6
3,1,53,9,3,clean,18,3,SpringBootMicroservicesUdemy,100,10,,26,17,100
1,1,,1,0,clean,,1,springbootproject,1,0,,2,0,6
5,4,,3,3,clean,,5,SpringBootTodoList,9,3,,2,4,45
3,2,1,5,1,clean,,4,SpringBoot_Base,6,3,4,17,18,62
3,5,,3,1,clean,,4,SpringBoot_CleanArchitecture,,1,5,2,0,27
4,6,3,6,2,clean,30,3,SpringBoot_Hexagonal_Architecture,4,5,,10,1,43
2,1,,1,0,clean,,1,Springboot_REST_API_Project01,2,0,,2,0,10
2,1,4,6,2,clean,4,1,SpringCleanArch,1,0,,3,0,16
9,9,9,10,0,clean,16,8,SpringCleanArchitectureCQRS,17,4,33,106,58,155
3,3,,2,0,clean,,4,SpringContacts,4,1,,2,1,21
3,1,37,8,4,clean,26,2,SpringMicroservice-outbox-kafka-saga-pattern,91,12,,24,17,91
3,2,3,4,1,clean,4,3,SpringMicroservicesCleanArchitecture,27,1,,7,0,27
2,1,,1,1,clean,,1,spring_api_rest,1,1,,2,0,12
1,1,,1,0,clean,,1,Spring_Boot-Project,1,0,,2,0,6
4,8,12,10,3,clean,,2,Spring_Boot_API-Clean_Architecture-JPA-Spring_Security-PostgreSQL,49,2,6,2,5,49
1,1,,2,1,clean,,1,Spring_Boot_CourseRegister,1,0,,,0,6
0,1,,,0,clean,,0,spring_boot_scraper,3,4,,1,6,21
1,1,28,4,7,clean,,2,spring_todo_clean_architecture,5,1,4,6,4,35
2,2,,2,0,clean,,4,Stockify-App,4,1,,2,3,23
3,3,,3,3,clean,,3,Student-Course-Management_BanqueMisr,3,0,,2,0,17
2,1,,1,1,clean,,1,student-crud-springboot,1,0,,2,2,22
7,7,,9,0,clean,,0,student-management-backend,,2,,2,1,38
2,1,,2,2,clean,,1,StudentCourseManagementSystemApp,2,0,,2,0,12
4,5,11,3,0,clean,26,13,sus-scheduler,,1,27,32,3,71
3,3,9,5,5,clean,,0,system-permission-clean-architecture,,1,38,2,1,86
3,2,,2,2,clean,,3,task-hub-app,3,2,,1,2,23
4,3,,2,0,clean,,4,task-management-api-java,4,1,,1,1,21
1,1,,1,0,clean,,0,Task-Management-REST-API-,,0,,2,0,5
1,1,,1,1,clean,,2,task-manager-api,2,1,,2,2,15
3,4,4,3,2,clean,,2,Task-Wizard,5,6,,1,2,38
2,2,,,0,clean,,2,taskmanager-springboot,2,0,,2,0,12
2,2,4,1,0,clean,5,0,template,1,4,,23,9,36
0,,1,,0,clean,,0,template-java-spring-clean-hexagonal-architecture,,0,,2,0,3
2,1,13,2,1,clean,,3,template-project,2,1,,1,2,32
1,3,2,3,2,clean,6,1,template_spring_hexagonal_architecture,2,0,2,6,0,15
2,2,8,3,1,clean,,1,think-clean-architecture,1,7,6,21,1,29
10,10,129,12,9,clean,139,1,tickets-api,20,12,67,132,24,398
1,1,,3,0,clean,,0,todo-app,,0,,2,1,17
4,3,17,6,2,clean,,0,todo-list-arquitetura-limpa,,4,21,15,0,61
0,,,,0,clean,,0,todobackend-java-spring-clean-architecture,,0,,2,0,2
4,7,,,0,clean,,2,todolist,7,1,,2,0,26
3,2,,1,1,clean,,1,ToDoList---Java_SpringBoot,1,0,,2,0,7
2,3,3,,2,clean,,1,todos-ddd-java-example,18,0,2,3,0,19
1,1,,2,0,clean,,0,todo_java_spring_mysql,17,2,,2,15,43
4,3,18,7,7,clean,9,4,TomaziScreen_ServicoStreaming,10,2,,10,4,45
2,2,5,6,2,clean,,0,transferencia-app-clean-architecture,2,1,2,2,2,31
1,1,,3,1,clean,6,0,url-shortener,,1,7,2,0,21
1,1,,1,1,clean,,1,URLShortener-SpringBoot,1,0,,2,0,6
1,1,,1,0,clean,,1,user-management-springboot,2,1,,2,0,8
3,3,2,6,2,clean,9,2,User-Role-Management,3,1,,6,2,18
2,6,2,6,2,clean,12,0,UserManagementSys,4,1,,8,2,23
3,2,12,4,1,clean,15,6,users-crud-clean-arch,7,3,10,18,1,48
1,1,3,,0,clean,,1,validationBrackets,,0,1,1,0,7
2,2,11,4,1,clean,1,0,vehicles-service,31,3,,4,1,31
10,9,,9,6,clean,,8,Vendora-APIs,15,3,,2,0,49
10,19,70,10,3,clean,,0,Waber,6,35,18,7,26,236
1,1,,,0,clean,,3,weather-stats-static,5,0,,2,0,8
2,2,,,0,clean,,2,weather_project,2,0,,2,0,8
3,,2,2,2,clean,,2,workshop-springboot3-mongodb,3,1,,2,0,18
7,5,,5,5,clean,,6,WriteCue-BlogWebsite,7,1,,2,0,48
0,,,,0,clean,,0,ZapTrolley,,0,,2,0,5
0,,1,,0,clean,11,1,zk-clean,,1,4,1,0,22
1,1,,,1,layered,,1,13.SpringBootProject5,2,0,,2,1,9
3,3,,,0,layered,,0,3-Layer-and-Spring-Example,46,0,,,2,50
1,1,,,1,layered,,2,3.spring-boot-rest-crud,3,0,,2,1,9
8,11,,17,5,layered,,9,accommodation-booking-service,101,2,,101,8,101
2,2,,1,0,layered,,1,Actor-Api-SpringBoot-MiniProject,2,0,,2,0,11
2,2,,2,1,layered,,1,amitupadhyay7-order-invoice-api,2,0,,2,0,13
1,1,,1,0,layered,,0,api-crud-user,,0,,2,0,5
2,2,,,0,layered,,2,Applying-Layered-Architectural-Pattern-to-REST-API-with-Spring-Boot,2,0,,2,0,15
9,9,13,13,5,layered,,9,AppMonopatines,142,4,,11,13,155
0,,,,0,layered,,0,Arabic-Text-Editor-using-design-patterns,,0,,,0,47
1,1,,,0,layered,,1,archive-library-poc,2,0,,2,0,5
2,2,,2,2,layered,,2,arsitektur-berbasis-layanan-project1-2025,2,0,,2,0,10
2,1,,1,0,layered,,1,Artemis-Demo,1,2,,2,4,18
4,4,,3,0,layered,,3,Astronomy-Daily-Prediction-,4,4,,1,1,25
6,5,,5,5,layered,,5,Attendance-Management-Application,10,0,,31,0,31
3,3,,3,0,layered,,2,auth-facade,5,2,,2,5,24
4,6,20,4,4,layered,,11,auth_layer_architecture_springboot,17,2,,17,14,83
2,1,,3,2,layered,,1,Backend_Traini8_Shreya,2,1,,2,0,17
4,5,3,2,2,layered,,4,banco-digital,8,1,,2,0,30
0,1,,1,1,layered,,1,Bank-App-Layered,1,0,,1,1,6
10,9,,7,0,layered,,7,Bank-Management-System,13,3,,1,1,62
2,1,,2,0,layered,,1,Banking-App,2,0,,2,0,16
1,1,,,1,layered,,0,Banking-Application,1,0,,10,4,10
4,4,,2,2,layered,,6,Banking-Application-Software,6,0,,17,0,17
3,3,,3,1,layered,,5,banking-springboot,5,3,,2,2,30
9,9,55,9,8,layered,,16,banking-system,55,2,,,15,105
1,1,,1,1,layered,,1,BankingApplication,2,0,,9,0,9
1,1,,1,0,layered,,1,BankManagementSystem,1,0,,2,0,6
3,3,,3,3,layered,,4,base-project,6,1,,2,1,37
1,1,,1,1,layered,,1,be-test-quantum,2,4,,,1,19
3,3,,2,0,layered,,4,Billing-Software,7,2,,2,2,26
6,5,,,0,layered,,6,Blog-Application,11,3,,47,3,47
5,4,,,0,layered,,5,Blog-Application-Backend,10,0,,33,0,33
4,3,,4,0,layered,,4,blog-rest-api,7,1,,2,3,36
19,18,,14,6,layered,,19,blogapplication,35,4,,141,8,141
1,2,,1,0,layered,,1,blogpost-rest-api,1,0,,2,0,6
1,1,,1,1,layered,,1,book-api,1,0,,2,0,7
2,1,,1,1,layered,,1,Book-API-SpringBoot,1,1,,2,0,7
3,5,,2,2,layered,,2,book-author-crud-api,5,1,,2,0,23
2,2,,2,0,layered,,1,book-management-system,3,0,,1,0,11
0,,,,0,layered,,0,BOOK-MY-SHOW-Low-Level-Design,,0,,2,0,22
6,5,,7,0,layered,,6,Book-Store,6,2,,2,1,44
1,,,4,3,layered,,6,book-vault,8,2,,2,3,32
4,3,7,3,2,layered,,4,booking_flight_app,6,0,,2,2,38
3,2,,4,4,layered,,4,BookMyShow,3,1,,2,0,42
2,1,,,1,layered,,1,books-crud-rest-api,2,0,,2,1,12
2,2,,2,0,layered,,0,BookStore-API,2,0,,2,0,11
3,2,,2,0,layered,,4,book_management_backend,7,2,,2,4,38
3,3,,8,3,layered,,3,Boost-EurovisionSongContestApp,5,0,,2,1,20
10,20,,9,6,layered,,11,BorekStore,21,4,,2,5,109
4,4,3,4,0,layered,,7,bp-archunit-examples,7,2,4,3,0,32
2,2,,4,4,layered,,1,Buy-Now-Pay-Later-Backend,1,0,,5,0,17
5,4,,4,0,layered,,4,ByteBlog,8,0,,2,0,33
1,,,4,3,layered,,0,Cab-Booking-System,,0,,2,0,10
2,2,,2,2,layered,,2,cadastro-ninjas,2,0,,2,2,14
1,2,,,0,layered,,1,calculator-mvc,2,0,,2,0,8
2,2,,,0,layered,,1,calculator-springboot-thymeleaf,1,0,,2,0,6
6,6,,,5,layered,,5,Campus-Recruit-API,5,0,,7,0,28
6,6,,,5,layered,,5,CampusRecruit-API,5,0,,7,0,28
1,1,,1,0,layered,,1,Car-Rental-System,2,1,,2,1,13
0,,,2,2,layered,,2,Children-Daycare,2,1,,2,0,10
1,1,2,,0,layered,5,3,clean_architecture_spring_boot,1,0,1,5,2,15
1,1,1,2,0,layered,4,0,Clean_Arch_With_Spring,,1,2,6,0,11
2,1,,1,1,layered,,1,client-spring-rest,1,1,,2,0,13
3,3,,2,0,layered,,1,Cloud-Vendor,4,0,,2,0,16
2,1,,2,0,layered,,1,CloudVendorAPI,3,0,,2,0,14
2,2,,2,0,layered,,2,codec_project_2_ecommerce_app,2,0,,2,0,10
2,1,,1,0,layered,,1,CoderHack,1,0,,2,0,10
1,2,,1,0,layered,,1,coffee-orders,1,0,,1,0,9
1,1,1,1,1,layered,,1,ColtWarrenAssignment11,1,0,,2,0,6
5,6,17,14,4,layered,29,4,Commercia-360-API,8,1,5,28,12,75
1,2,,1,0,layered,,2,country-service-app,9,0,,2,2,9
5,4,,4,8,layered,,4,Course_Enrollment_System,4,0,,2,0,26
8,8,,1,2,layered,,19,COVID-19-Impact-Analysis-API-,7,1,,2,4,27
1,1,,1,0,layered,,1,crud,2,0,,2,0,7
2,1,,1,1,layered,,1,crud-kasumi-api,1,0,,2,0,6
4,4,,3,3,layered,,7,CRUD-LOGIN-Security-Spring-Application,7,1,,22,0,22
3,1,,1,0,layered,,1,crud-spring-boot,1,0,,2,0,8
2,2,,1,1,layered,,1,CRUD-With-SpringBoot-and-Architecture-Layered,1,1,,2,0,8
1,1,,1,0,layered,,1,CRUDBackend-LayeredArchitecture-SpringBoot-ReactJS-MySQL,2,0,,,0,7
5,7,9,5,2,layered,,8,Cryptocurrency-Wallet,15,3,,1,0,89
3,3,,2,2,layered,,3,CurrencyXRatesRedisRabbitMQ,4,7,,2,4,35
1,1,,1,0,layered,,1,customer-management-backend,3,1,,,0,9
3,3,,,3,layered,,3,Customer-Management-System,6,0,,2,0,23
1,1,,,0,layered,,1,CustomOrderSystem-SpringApplication-,1,0,,14,1,14
4,4,,4,0,layered,,4,databaseAPI,4,0,,2,0,19
3,1,,1,1,layered,,1,DataHandlingValidationApplication,2,0,,13,0,13
3,3,30,12,4,layered,1,6,ddd-layered-example,7,0,,6,2,73
1,1,,1,0,layered,,1,DemoApplication,1,0,,5,0,5
4,6,15,3,0,layered,14,4,DietPlanFullStackApplication,8,1,,46,2,46
2,1,,1,0,layered,,1,digital-library,2,0,,2,0,11
1,1,,3,0,layered,,1,Digital-Wallet-MicroService-RESTful-API,15,0,,2,0,15
7,8,,,0,layered,,6,dockerize-car-rent-management-system-api,13,0,,1,0,42
0,,,,0,layered,,0,DollarsBankApp,,0,,,0,1
3,2,,1,0,layered,,1,DoneDesk,1,0,,2,0,9
3,2,,3,3,layered,,2,dream-games-backend-engineering-case-study,4,2,,2,2,29
2,1,,2,1,layered,,2,DTO-CRUD,2,1,,2,0,13
6,4,,9,9,layered,,9,E-Learning-Management-System,11,5,,3,9,93
6,10,,4,4,layered,,7,e-shop,22,7,,2,3,77
6,10,,5,4,layered,,10,easymenu,14,6,,2,5,85
3,5,,1,2,layered,,3,ecommerce-db-maven-api-javafx_backend,3,1,,,1,24
3,2,,2,2,layered,,3,ecommerce-spring-back,5,3,,3,1,28
5,4,,4,4,layered,,5,ECommerceAPI,10,3,,2,3,51
1,1,,,1,layered,,1,ecommerce_backend_java,1,0,,2,1,6
5,4,,4,4,layered,,5,EduConnect,13,1,,2,0,42
,,,,,layered,,,EduPanel,,,,,,0
5,4,,,4,layered,,4,EduTrack,4,0,,2,0,25
1,1,,1,1,layered,,1,employee-api,1,0,,2,0,6
1,2,,1,1,layered,,1,employee-crud,1,0,,2,0,7
3,1,,1,0,layered,,1,Employee-Data-Handler,2,0,,2,0,15
1,1,,,1,layered,,1,employee-management,2,0,,1,0,8
1,1,,1,1,layered,,1,employee-Management-,2,0,,2,0,8
1,1,,1,1,layered,,1,employee-management-system,1,0,,2,0,6
1,1,,1,1,layered,,1,Employee-Management-System-A-Spring-Boot-CRUD-Web-Application,2,0,,7,0,7
1,1,,1,0,layered,,1,Employee-Management-System-Backend-,2,0,,2,0,10
1,1,,,1,layered,,1,Employee-Portal,1,0,,2,0,6
2,2,,1,1,layered,,1,employee-service,16,2,,2,0,16
3,3,,1,1,layered,,3,EmployeeApp,8,1,,3,0,25
1,1,,1,0,layered,,1,EmployeeCRUDProject,,0,,1,0,5
2,1,,1,0,layered,,1,EmployeeDirectory,2,2,,,0,11
4,4,,1,0,layered,,1,EmployeeManagementApplication,3,1,,14,0,14
3,2,,2,2,layered,,2,EmployeeManagementSystem,4,0,,2,0,23
2,1,,1,1,layered,,1,employeeMangement,2,0,,2,0,11
1,1,,1,0,layered,,1,Employee_Management_Springboot,1,0,,2,0,6
1,1,,1,0,layered,,1,ems-backend,2,0,,2,0,10
2,2,,1,0,layered,,1,ems-rest-api,3,0,,2,0,12
3,3,,,5,layered,,5,EncheresWebApp,10,1,,2,0,34
2,1,,1,1,layered,,1,estore-product-service,11,1,,2,0,11
3,2,,2,0,layered,,2,Event-Management-System,4,0,,2,0,21
5,5,,5,8,layered,,5,EventManagementApp,6,0,,2,0,30
6,5,,4,6,layered,,5,EventMangament,5,0,,2,0,31
8,16,,9,9,layered,,9,Ex-Manage,19,1,,2,4,74
1,1,,1,1,layered,,1,Expense-tracker,1,0,,2,0,6
14,9,,5,5,layered,,10,expensetracker,20,12,,12,9,149
3,4,,3,3,layered,,5,Expense_Management_Backend,5,1,,2,0,23
4,3,,,5,layered,,0,Extended-MVC-Architecture-Layered-with-SpringBoot-Data-JPA-Maven-Web-MVC-Point-of-Sales-System-POS-,,0,,,3,38
1,2,6,,0,layered,,2,External_API_Calling_System,5,0,,4,0,12
1,1,,,1,layered,,1,E_Commerce_Backend,1,0,,2,0,6
4,6,,3,0,layered,,6,FemCoders-Mentor-Hub-Backend,14,3,,2,3,65
3,3,,3,2,layered,,2,FirstSPringBootProject,4,1,,2,4,24
4,3,,3,3,layered,,5,FitnessTrackerAPI,8,1,,10,1,65
4,7,,3,0,layered,,3,flashcards-api,10,0,,2,4,56
3,3,,,0,layered,,6,flight-boot,6,2,,4,3,38
2,2,,2,0,layered,,2,Flight_Booking,2,0,,2,0,10
,,,,,layered,,,FootLockerApp,,,,,,0
5,4,,2,2,layered,,5,foro_hub,9,2,,2,2,35
4,4,8,4,4,layered,,4,Full-Stack-2-Assignment-1,8,0,,18,4,30
2,2,,2,0,layered,,2,gameslist,2,1,,2,0,18
1,1,,1,0,layered,,0,global-superstore,1,0,,2,0,7
3,3,,6,4,layered,,3,Good-Reads-Advanced,3,0,,2,0,17
5,4,,4,0,layered,,4,Grade-Management-System-Rest-Api-Spring-Boot,8,1,,3,1,35
1,1,,,0,layered,,0,grade-submission,1,0,,2,0,5
2,2,18,6,0,layered,31,11,graphql-implementation,12,0,,14,1,63
3,4,,3,0,layered,,3,Guess_Card_Game,3,1,,2,2,43
5,6,,6,0,layered,,0,ha_web_deployment_2,1,0,,2,0,22
3,9,,2,1,layered,,1,hello-spring-layered-architecture,2,2,,,4,30
8,1,21,4,1,layered,44,6,hexagonal-architecture,4,6,14,28,1,97
1,1,6,1,1,layered,3,0,hexagonal-architecture-clean-arch,,1,2,2,2,14
3,3,7,,2,layered,,2,hexagonal-architecture-with-spring-boot-practice,4,4,,,3,41
5,4,,4,1,layered,,4,HMSBackend,4,1,,1,0,21
11,11,,14,9,layered,,12,homeService,111,4,,1,16,111
0,,,2,0,layered,,0,Homework4,2,0,,,0,8
5,5,,4,0,layered,,5,hoobank_backend,6,1,,2,0,27
13,12,,12,11,layered,,13,hospital-management-app,24,2,,3,1,134
3,3,,3,1,layered,,3,hospital-management-system,3,0,,2,0,15
1,1,,3,3,layered,,0,HospitalManagmenetSystem,,0,,2,0,9
8,7,,,0,layered,,7,hotel-management-service,57,0,,2,0,57
2,2,,4,1,layered,,3,hotel-management-system,6,0,,2,0,18
3,6,,3,3,layered,,3,Hotel-Management-System-Spring-Boot,9,0,,1,0,26
1,1,,1,1,layered,7,3,house-of-chaos-main,3,2,,2,2,24
1,1,,1,0,layered,,1,hr-portal,1,0,,1,0,5
1,1,,1,1,layered,,1,human-resources-backend,2,2,,2,0,10
5,4,,4,4,layered,,5,Idelkadi_Radia_S3_B2_EduConnect,13,1,,2,0,42
1,1,,1,0,layered,,1,insurance-manager,1,0,,2,0,8
8,8,,1,5,layered,,7,Integrative-Software-Engineering,18,1,,40,3,80
1,1,,1,1,layered,,1,Inventory-Management-System,1,0,,2,0,6
7,6,,7,0,layered,,6,Inventory_Forecasting_Backend,6,2,,2,3,39
1,1,,,0,layered,,1,Invoice-Porcessing-System,2,0,,2,0,7
2,2,,3,1,layered,,1,issuetracker,1,0,,2,0,13
1,4,3,1,1,layered,,0,java-aws-lambda,2,1,,1,2,16
3,2,,2,2,layered,,2,Java-Crud,6,0,,1,0,16
1,1,,1,0,layered,,1,Java-human-resources-app,2,0,,2,0,8
2,4,3,3,0,layered,,2,java-microservice-reference,18,0,,2,0,18
1,1,,,1,layered,,1,Java-NTier-Architecture,1,0,,2,0,8
1,1,,7,0,layered,,1,Java-Spring-Boot-Backend-Vacation-Planner,4,1,,2,1,24
3,2,,2,0,layered,,2,Java-Spring-Boot-Based-Banking-System-APIs,4,2,,2,1,23
2,1,,1,1,layered,,1,java-spring-boot_crud-products,2,0,,2,0,11
8,9,,4,2,layered,,5,java-todolist,7,7,,3,3,60
2,2,,2,1,layered,,1,java17-springboot-task-tracker-rest-api-microservice,19,0,,1,0,19
1,1,,,0,layered,,1,Java6Project-SpringBoot-1,1,0,,4,0,9
2,2,,1,0,layered,,0,JavaProductApi,,0,,2,0,5
1,1,,,1,layered,,1,javaSpringBootDemo,1,0,,2,0,9
1,2,,2,1,layered,,1,java_demo,2,0,,2,1,12
1,1,4,1,1,layered,,1,jee-architecture-spring-boot-dto,5,5,,1,3,30
1,1,,,1,layered,,1,Job-App,1,0,,2,1,6
10,9,,7,5,layered,,10,job-application-system,16,6,,72,8,72
3,3,,3,0,layered,,3,job-portal-springboot,6,0,,2,0,17
1,1,,1,1,layered,,1,Job-Post-Management-API,1,0,,2,0,6
1,1,,,1,layered,,1,JobApplication,1,0,,5,1,5
1,1,,1,1,layered,,1,JobPortal,2,0,,2,0,10
6,6,,2,0,layered,,0,Journal_Apllication,6,2,,2,3,20
0,,,2,0,layered,,0,jwt-authentication-starter,2,0,,2,0,16
3,3,,,0,layered,,1,KVStore-RateLimit-Cache-Kafka,4,1,,8,6,22
0,,,,0,layered,,0,lab-layer7-API,,0,,2,0,2
1,1,,1,1,layered,,1,Layered-Architecture,2,0,,2,0,9
3,2,,2,2,layered,,2,layered-architecture-example-shop-spring-boot-,4,1,,2,0,21
1,1,,1,1,layered,,1,layered-architecture-java-spring-boot-mysql,1,0,,2,0,6
0,,1,1,0,layered,,0,Layered-Architecture-Spring-Boot,1,0,,5,0,5
2,2,,,0,layered,,2,layered-architecture-spring-javafx,2,0,,2,0,15
1,3,,2,1,layered,,1,layered-architecture-template,3,1,,2,0,17
6,9,,5,0,layered,,2,layered-architecture-test-code-with-spring-boot,4,0,,1,0,29
7,6,,6,2,layered,,6,Layered-Architecture-With-Spring,6,0,,2,0,67
1,6,32,,0,layered,,0,layeredApplication,2,1,9,52,3,52
1,1,,,1,layered,,1,Layered_Architecture,1,0,,2,0,8
2,1,1,1,0,layered,,3,learn-spring-boot-todo-api,2,0,,2,1,12
0,,,5,5,layered,,0,library-api,,0,,2,0,12
