architecture,pkg_repository,max_package_depth,class_service,import_data,controller,springboot_app,class_repository,import_web,pkg_domain,total_java_files,configuration,pkg_infrastructure,pkg_usecase,import_stereotype,pkg_service,has_app_config,repo_name,repository,service,import_jpa,pkg_controller,class_config,import_boot,pkg_application,component,class_controller
clean,2,11,4,2,4,1,,15,,45,3,,14,10,8,,clean-arch,2,4,21,6,3,10,4,4,4
clean,4,11,1,1,1,1,1,6,,29,2,,4,0,2,1,clean-architecture,0,0,7,2,2,2,1,0,1
clean,1,12,,1,2,1,,5,7,40,3,18,9,4,,1,clean-architecture-101,3,1,3,7,2,2,15,1,1
clean,4,9,,2,3,1,,5,4,20,0,,4,4,,1,Clean-Architecture-and-SOLID-study,2,2,0,2,,3,6,0,2
clean,,7,,0,0,1,,0,,2,0,,,0,,1,clean-architecture-boot,0,0,0,,,3,2,0,
clean,8,10,,0,2,1,5,2,32,87,1,,8,14,8,,clean-architecture-branas-18,0,15,0,2,2,14,37,0,2
clean,4,9,,1,1,1,1,1,,12,0,,1,3,,1,clean-architecture-com-maven-e-spring-boot,2,0,1,1,,5,,1,1
clean,,8,,0,0,1,,0,,5,0,,,0,,1,clean-architecture-crud-scaffolding,0,0,0,,,5,2,0,
clean,25,10,1,8,8,1,15,35,13,148,13,,62,17,1,,clean-architecture-delivery-example,5,4,52,11,12,43,1,11,11
clean,1,11,,9,1,1,,1,2,22,0,8,9,1,,1,clean-architecture-demo,0,0,0,2,,5,2,1,2
clean,8,11,,0,2,1,4,5,,34,1,,9,0,,,clean-architecture-example,0,0,7,7,4,2,13,0,6
clean,2,11,,3,5,1,1,25,,62,3,,15,1,,1,clean-architecture-example-java-spring-boot,0,0,3,,3,9,13,1,
clean,8,10,2,2,2,1,2,2,10,27,1,7,2,4,2,1,clean-architecture-example-shop-spring-boot,2,2,0,2,1,3,4,0,2
clean,2,13,,3,9,1,,17,51,95,1,,8,1,,1,clean-architecture-example-spring-boot,0,0,8,11,1,5,3,2,8
clean,1,12,2,1,1,1,,5,1,22,0,,1,6,2,1,clean-architecture-example-spring-rest-api,0,2,4,1,,2,11,4,1
clean,1,11,3,1,3,1,,7,9,20,2,,,6,3,1,clean-architecture-java,0,4,0,2,2,5,2,1,2
clean,4,12,,1,2,2,2,4,7,55,3,,17,4,,1,clean-architecture-java-example,0,1,2,4,7,15,2,4,4
clean,3,14,1,21,8,5,,21,29,164,17,,,6,164,1,Clean-Architecture-Microservices,1,1,0,9,17,16,71,3,9
clean,2,11,3,4,1,1,,3,6,38,2,,2,5,6,1,clean-architecture-practice,0,0,10,2,2,11,14,5,2
clean,4,10,,3,1,1,,3,2,34,0,,8,6,,1,clean-architecture-pratice,1,0,0,5,,3,2,5,1
clean,2,12,2,1,2,1,,11,1,26,0,,1,5,2,1,clean-architecture-project-structure,1,1,0,2,,9,5,3,2
clean,,9,,0,0,1,,0,,2,0,,,0,,,clean-architecture-sample,0,0,0,,,3,2,0,
clean,,7,,0,0,1,,0,,2,0,,,0,,1,clean-architecture-sboot,0,0,0,,,3,2,0,
clean,,13,1,0,1,1,,3,,11,0,,,2,11,1,clean-architecture-services-library,0,1,0,2,,4,2,1,2
clean,3,11,,2,2,1,1,14,3,29,2,2,10,7,,1,clean-architecture-spring,1,5,0,1,2,3,16,1,1
clean,1,11,4,1,2,1,,5,3,25,0,,1,4,4,1,clean-architecture-spring-boot,0,2,1,3,,6,10,2,3
clean,,18,,0,0,1,,0,,2,0,,,0,,1,clean-architecture-spring-boot-app,0,0,0,,,2,2,0,
clean,3,10,,0,2,1,2,11,8,18,1,,,2,,1,clean-architecture-spring-boot-gradle,1,1,0,1,1,3,2,0,
clean,6,10,4,2,2,1,2,2,2,18,1,8,,5,4,1,Clean-architecture-spring-boot-java-junit-test-project,2,0,0,2,1,2,7,2,2
clean,3,11,,1,1,1,1,1,1,18,1,3,6,2,,1,clean-architecture-spring-boot-template,1,0,4,1,1,3,8,1,1
clean,2,10,2,0,1,1,1,4,4,13,0,2,,1,2,1,clean-architecture-spring-sample,1,0,0,1,,3,7,0,1
clean,3,9,,1,1,1,1,1,2,11,1,3,2,2,,1,Clean-Architecture-SpringBoot,2,0,0,1,1,3,2,0,1
clean,3,10,1,2,2,1,1,4,13,30,2,6,2,3,1,1,clean-architecture-template,0,1,0,1,2,6,5,2,1
clean,3,9,,2,2,1,1,4,3,22,2,,7,2,,1,clean-architecture-with-spring-boot,1,1,1,2,1,3,2,0,1
clean,1,9,1,2,2,1,,14,,22,10,,,5,1,1,clean-spring-boot-architecture,1,1,0,2,6,10,,4,2
clean,4,12,7,6,9,1,2,32,15,63,2,,,8,11,1,clean-spring-boot-project,0,5,0,5,2,14,2,3,5
clean,2,9,,3,1,1,1,4,1,14,1,8,1,0,,1,cleanarc,0,0,0,4,1,3,4,0,1
clean,4,11,,4,1,1,,3,2,45,5,,8,10,,1,CleanArch,1,0,0,5,6,3,2,8,1
clean,4,11,,4,1,1,2,3,6,29,6,6,4,3,,1,cleanarchitecture,0,0,0,2,1,5,2,3,2
clean,5,11,2,3,2,1,2,13,,26,2,2,,6,3,1,CleanArchitecture.Java,2,2,16,4,1,13,3,2,4
clean,2,9,1,0,1,1,1,0,2,14,1,3,,1,2,1,cleanarchitecturedemo,0,0,0,1,1,3,8,0,1
clean,,11,8,0,3,1,,25,14,54,2,,5,6,12,1,cleanArchitectureFQ,0,2,0,12,4,15,2,5,10
clean,9,15,,22,3,1,3,8,7,44,0,10,6,1,,1,CleanArchitectureSpringBoot,0,1,0,3,,5,22,0,3
clean,1,10,,1,1,1,,4,,15,3,,,0,,1,CleanArchitectureWebDemo,0,0,1,1,1,4,2,0,1
clean,,13,,0,2,1,,7,,69,0,,5,7,1,1,CleanArhitectureWithAndroidAndSpringBoot,3,4,12,4,,7,60,0,4
