architecture,pkg_repository,max_package_depth,class_service,import_data,controller,springboot_app,class_repository,import_web,pkg_domain,total_java_files,configuration,pkg_infrastructure,pkg_usecase,import_stereotype,pkg_service,has_app_config,repo_name,repository,service,import_jpa,pkg_controller,class_config,import_boot,pkg_application,component,class_controller
clean,3,9,3,4,4,1,,8,,30,2,,,8,3,1,Java_Full_Stack_Project,2,3,3,4,2,13,3,2,4
clean,9,9,6,9,8,1,1,13,,47,1,,,3,11,,JC-Student-API-Legacy,0,2,11,10,1,4,2,1,5
clean,2,11,6,6,6,4,,7,,40,0,,,7,40,1,Job-App-Microservices,0,6,0,6,,13,23,0,6
clean,3,9,3,3,3,1,,3,,18,0,,,4,6,1,Job-Application-Management-System,0,3,0,3,,3,18,0,3
clean,4,12,,4,6,1,,29,13,44,2,15,10,13,,1,job-management,0,11,0,7,2,4,13,2,7
clean,3,8,,3,1,1,1,2,,7,0,,,1,,1,job-portal-spring-boot-mongo,0,0,0,1,,3,2,1,1
clean,2,9,,2,2,1,,2,4,13,0,,2,2,,1,JobApp-clean-architecture,0,2,0,2,,3,4,0,2
clean,5,10,11,21,7,1,2,17,,44,5,,,16,13,1,journal-spring-boot,0,8,0,6,4,8,2,5,5
clean,5,8,10,24,5,1,2,12,,39,3,,,14,13,1,journalApp,0,7,0,5,4,8,2,4,5
clean,4,12,,0,0,1,2,10,15,25,3,8,10,4,2,,judo-pills-backend,2,0,0,,1,6,2,4,
clean,1,10,3,0,1,1,,4,3,12,0,,1,3,3,,KafkaCleanArchitecture,1,2,0,1,,3,2,0,1
clean,,7,,0,0,1,,0,,2,0,,,0,,1,lab-java-clean-architecture-spring-boot-kafka,0,0,0,,,3,2,0,
clean,2,6,2,2,1,1,,1,,17,1,,,2,3,,layered-architecture-template,1,1,0,3,1,3,2,0,3
clean,3,8,6,3,4,1,,13,,26,1,,,7,6,1,library-management-spring-boot,3,3,0,6,1,3,2,1,6
clean,3,9,3,3,4,1,,8,,25,0,,,3,7,1,library-management-system,0,3,0,3,,2,1,0,3
clean,2,12,,1,1,1,,9,6,26,3,,2,6,,1,libro,0,1,4,3,2,7,1,5,3
clean,1,9,14,6,1,1,,5,16,45,0,,6,12,17,1,limitchecker-spring-boot,1,7,0,2,1,10,23,5,2
clean,2,11,1,1,2,1,,12,5,28,1,,,8,1,1,limpiar,0,2,2,2,1,4,20,5,2
clean,,9,1,0,1,1,,4,1,20,1,,,2,1,1,localgov-backend,0,1,0,2,4,3,2,1,1
clean,1,9,4,10,3,1,,12,6,25,2,6,,7,6,1,login-spring-security,1,4,0,2,2,3,2,1,2
clean,10,10,2,49,7,1,5,36,70,103,13,25,,10,2,1,LottoApplication,5,1,0,11,11,11,103,4,6
clean,1,7,1,1,2,1,,2,,8,0,,,1,2,1,Love-Letter-Application-Backend,0,1,0,2,,3,8,0,2
clean,32,12,21,70,14,1,,19,,303,11,,43,51,59,1,macbus-backoffice-spring-boot,12,33,0,12,15,5,1,6,12
clean,5,8,5,6,7,1,,29,,49,1,,,12,10,,Many2Many_Spring,5,5,0,11,,5,1,2,6
clean,,15,,0,0,1,,0,,2,0,,,0,,1,maven-archetype-hexagonal,0,0,0,,,3,2,0,
clean,1,8,1,1,2,1,,6,,8,1,,,2,1,1,media-nest-backend,1,1,0,2,,4,2,0,2
clean,1,9,7,1,2,2,,4,,17,0,,,4,17,1,MediTrack,1,2,0,1,,6,4,0,1
clean,1,10,,1,1,1,,4,3,11,1,1,2,1,,1,menu-system,0,1,0,1,1,4,5,0,1
clean,1,10,7,1,3,2,,18,,29,1,,,6,27,1,microcredit-platform,1,3,0,6,1,14,3,2,6
clean,12,20,7,8,5,2,6,17,60,128,15,26,,39,128,1,Microservice-Artchitecture,6,5,15,2,10,12,43,28,2
clean,9,12,,14,0,1,3,14,18,51,6,29,4,10,51,,microservice-franchises-java-springboot,3,0,0,,5,4,4,9,
clean,4,9,,0,1,1,,1,1,14,1,,6,4,14,,MicroserviceJavaClean,0,0,0,1,3,7,,4,1
clean,10,11,,76,12,6,4,88,6,177,14,,,38,177,1,Microservices,6,12,0,12,28,56,6,27,3
clean,35,19,15,16,5,5,13,17,129,240,21,29,,78,240,1,microservices-design-pattern,11,5,0,2,15,23,78,62,2
clean,3,9,8,3,5,3,,9,,33,1,,,7,33,1,microservices-project,3,2,0,6,1,13,6,2,6
clean,7,11,11,5,6,3,,19,12,68,3,14,,13,68,,microservices-springboot,5,6,0,6,2,14,34,2,6
clean,2,8,2,2,1,1,,1,,11,1,,,5,4,1,miniblog-springboot-thymeleaf,2,2,0,1,1,2,1,0,1
clean,1,9,2,1,1,1,,1,,11,0,,,2,2,1,modern-mvc-spring-boot,1,1,0,2,,3,2,0,2
clean,2,9,2,2,3,1,,7,,19,1,,,2,2,1,monstershop-api,0,2,0,2,1,3,2,0,2
clean,9,9,3,4,3,2,3,3,6,31,1,10,3,3,6,1,movie-rent-clean-arch,3,0,0,3,1,6,9,0,3
clean,19,11,9,30,5,1,7,34,45,99,4,,13,22,10,1,MovieManager,6,11,0,6,4,12,3,5,5
clean,19,11,8,27,5,1,7,34,42,92,3,,12,21,9,1,Movie_Manager,6,11,0,5,3,11,2,4,4
clean,1,15,5,2,2,4,,16,1,25,9,3,,1,25,1,mspt-microservice-demo,0,1,6,2,9,11,4,0,2
clean,,11,1,1,2,1,,16,8,56,7,36,4,3,2,1,musicweather-api-clean-architecture,0,3,0,1,6,6,14,0,1
clean,12,8,13,45,11,1,,131,,119,3,,,20,23,1,MyStore,0,11,0,10,3,3,2,9,10
clean,30,19,6,75,0,1,,90,48,137,8,85,26,27,15,,nequi_techlead_technical_test_ms,3,16,0,32,7,12,4,10,23
clean,7,13,,1,3,1,2,13,36,69,3,21,,8,,1,next-spring-notes,2,5,0,9,4,3,10,1,9
clean,5,10,4,4,7,1,1,22,,34,3,,,8,4,1,notesapp-backend,1,4,0,7,3,10,2,3,7
clean,3,8,3,4,4,1,,19,,25,0,,,8,6,1,One2one-Entity-Rest,3,3,0,6,,3,1,1,3
clean,,12,,0,0,2,,0,,102,0,,,0,,1,OpenBootcampBackendRoad,0,0,0,,,6,4,0,
clean,,16,,0,0,0,,0,18,18,0,,,0,,,order-processing-system,0,0,0,,,0,,0,
clean,,11,,0,0,0,,0,2,6,0,,,0,6,,order-service,0,0,0,,,0,2,0,
clean,22,19,14,10,3,5,7,9,114,191,17,20,,56,149,1,ordering-system,6,5,16,1,12,19,55,45,1
clean,25,14,25,17,30,1,,60,204,433,8,43,,64,51,1,panis-boot,0,54,0,29,6,6,1,10,29
clean,3,9,3,4,4,1,,6,,28,1,,,6,3,1,Patent-Manager-Spring-Boot-Application,3,3,0,3,1,3,28,0,3
clean,2,8,2,2,2,1,,6,,14,0,,,2,2,1,Patient-Appointment-Management-System,0,2,0,2,,3,2,0,2
clean,3,7,5,8,3,1,,6,3,29,2,,,9,5,1,payment-api,3,4,0,2,2,2,1,2,2
clean,,11,4,0,1,2,,4,7,17,3,3,,6,17,1,pedido-assincrono,0,4,0,1,3,4,5,2,1
clean,8,11,11,19,9,1,,15,28,95,4,29,,19,18,1,pet-care-api,0,11,0,9,4,8,39,8,1
clean,3,9,4,3,3,0,,11,6,22,1,,,5,4,1,petshop-application,2,3,0,2,1,1,22,0,2
clean,7,11,10,0,2,1,,10,25,88,0,9,19,10,15,1,petshop-scheduler-chatbot,0,9,0,1,,3,37,1,1
clean,9,11,2,3,3,1,4,17,,44,3,,4,4,4,1,picpay-challenge,0,4,0,4,2,10,2,0,4
clean,4,15,,2,3,1,2,14,2,48,1,,14,6,4,,picpay-simplified-challenge,2,0,0,2,1,4,2,4,2
clean,3,8,4,3,3,1,,5,,23,0,,,2,4,1,Pismo_Capstone_Project,0,2,0,2,1,3,2,0,2
clean,3,7,7,8,4,1,,11,,31,1,,,3,31,1,Pismo_Transaction_Service,0,3,0,5,1,7,2,0,5
clean,11,12,2,5,1,1,,4,26,114,1,22,34,0,4,1,planetae-timetracker,0,0,0,2,1,3,67,0,1
clean,37,11,,16,5,1,13,22,67,211,2,,49,20,,1,planogram-nomenclature,4,16,0,69,1,9,,0,13
clean,4,11,1,2,2,1,1,5,,21,1,13,6,1,1,1,PlateLocationFinder,1,0,3,2,1,5,2,0,1
clean,2,13,,19,3,1,,6,141,206,4,28,25,2,,1,poc-clean-architecture,0,2,0,3,4,2,37,1,2
clean,2,11,3,7,2,1,,8,16,34,0,,14,6,3,1,poc-clean-architecture-spring,0,3,10,2,,3,2,3,2
clean,3,9,1,2,2,1,1,4,2,18,2,3,5,1,1,1,practica_uno_clean_architecture,1,0,0,2,2,5,8,0,1
clean,9,12,2,4,2,1,5,9,4,26,2,,2,3,3,1,price-manager,0,2,0,8,1,8,9,2,2
clean,8,13,2,4,2,1,4,9,2,24,2,,2,3,3,1,price-manager-web-back,0,2,0,9,2,6,8,2,3
clean,6,10,3,2,1,1,2,1,6,30,6,15,,8,6,,process-orders,4,7,0,1,6,5,8,3,1
clean,1,8,1,1,1,1,,1,,7,0,,,1,2,1,product-api,0,1,0,1,,3,2,0,1
clean,2,9,2,11,2,1,,8,7,26,2,3,,4,3,1,product-management-backend,1,1,0,2,2,5,5,2,2
clean,12,12,4,3,2,1,4,9,15,39,3,,2,4,10,1,product-manager,0,2,0,7,2,4,20,3,2
clean,1,8,1,1,1,1,,1,,8,0,,,1,2,1,ProductCategory,0,1,0,1,,3,2,0,1
clean,3,9,3,3,4,1,,25,,28,1,,,8,3,1,ProductList-using-springboot,3,3,0,3,1,3,2,2,3
clean,,8,,0,1,1,,2,,3,0,,,0,,1,products-api,0,0,0,1,,3,2,0,1
clean,3,12,,30,4,1,,8,29,134,5,43,47,3,,1,project-spring-boot,0,0,12,4,5,2,62,4,3
clean,3,8,2,3,2,1,,2,,14,0,,,2,2,1,project_management_springboot,0,2,0,2,,3,2,0,2
clean,5,10,13,8,4,1,,14,,72,4,,,14,14,1,Projeto-Estacionamento,1,8,0,3,4,5,3,5,3
clean,1,9,,5,2,1,,4,6,24,1,,3,4,,1,quasar-fire-operation,0,0,0,1,1,3,2,4,1
clean,1,11,3,6,1,1,,9,,14,1,,,3,4,1,Reactive-Programming-Spring-Boot-Backend,1,2,0,1,1,4,2,0,1
clean,3,9,7,15,7,1,,28,,55,2,,,10,7,1,ReadingIsGood,0,6,0,5,2,3,3,4,5
clean,21,16,61,50,21,1,,27,23,215,1,,113,72,62,1,real-hope-code-generation,0,72,22,22,4,5,112,4,22
clean,,6,,0,0,1,,0,,2,0,,,0,,1,reboot,0,0,0,,,3,2,0,
clean,4,8,2,10,2,1,2,4,,22,2,,,2,3,1,record-shop-api-v2,1,1,0,2,2,12,2,0,2
clean,3,9,4,3,4,1,,20,,35,1,,,8,7,1,rent-read-library-app,2,4,0,3,1,3,2,2,3
clean,8,9,4,1,2,1,,7,,11,0,,,4,5,1,repsy-server,0,4,0,2,,3,1,0,2
clean,3,10,,4,1,1,1,1,5,19,0,6,1,3,,1,restaurant-management-system,2,0,0,1,,4,6,1,1
clean,24,19,13,11,3,5,8,9,107,188,17,20,,59,188,1,restaurant-microservice,8,8,20,1,12,19,48,43,1
clean,6,18,1,3,3,0,3,9,30,69,8,18,,13,33,1,restaurant-ordering-system,3,1,0,1,5,3,16,9,1
clean,13,10,,22,5,1,5,10,6,97,5,,11,0,,1,RestaurantManagement,0,0,0,11,6,18,2,0,8
clean,,9,1,0,1,1,,2,,5,0,,,1,1,1,RestGen-Ai,0,1,0,1,,3,2,0,1
clean,3,8,,3,3,1,,4,,23,1,,,2,3,1,saas,0,0,0,3,1,3,2,2,3
clean,2,11,2,2,2,1,,16,5,15,1,2,,2,2,1,Safe-Card-Application,0,2,0,2,1,4,15,0,2
clean,,10,,4,3,1,,11,,54,0,,,13,,1,sales-clean-architecture,3,2,0,3,,4,2,8,3
clean,,10,6,5,6,1,,17,19,55,2,,6,19,12,1,sales-system-api,4,11,0,8,2,3,12,4,5
clean,5,10,2,2,3,1,2,18,6,19,1,,,1,4,,sboot-clean-arch-example,1,0,0,2,1,2,7,0,2
clean,2,9,2,3,2,1,1,6,5,19,2,6,2,2,2,1,scaffolding-java-spring-boot,2,1,0,1,2,2,6,0,1
clean,2,10,5,7,2,1,,9,,54,1,,,33,5,1,Scheduler-Telegram-Bot,2,5,0,2,1,6,2,26,2
clean,2,11,1,2,6,1,,19,1,30,1,10,7,2,1,1,sda_clean_example,0,1,0,6,1,3,2,1,5
clean,3,10,1,1,3,1,1,9,3,20,2,,2,5,1,1,secure-auth-api,1,3,0,3,2,3,4,1,3
clean,21,13,2,8,3,1,3,24,35,82,8,42,22,8,10,,secure-login-clean-architecture,2,1,0,1,8,5,5,7,1
clean,,9,1,0,1,1,,4,,6,0,,,3,1,1,Secure-User-Login-Registration-Spring-Boot-JSP-,1,1,7,1,,3,2,0,1
clean,1,10,2,1,1,1,,6,3,30,1,,2,4,2,1,Send-Message-Kafka,0,0,5,1,1,3,9,4,1
clean,,10,2,0,1,1,,1,,11,1,,,3,2,1,SendMailer,0,3,0,1,1,3,3,0,1
clean,9,8,3,4,5,1,3,10,,44,0,,,14,6,1,Shipping-System,4,3,0,5,,3,2,2,5
clean,5,11,4,3,3,1,3,11,28,46,0,7,10,5,46,1,shop-microservice-spring-boot,1,3,2,4,,8,2,1,4
clean,8,8,11,44,6,1,,24,,84,4,,,19,17,1,ShopEase,8,7,0,6,4,4,2,4,6
clean,11,9,16,27,9,1,,18,,120,2,,,20,16,1,ShringShop,10,8,0,18,2,3,1,2,18
clean,3,6,3,3,3,1,,30,,17,0,,,6,3,1,simple-todo-app,0,3,0,3,,3,2,3,3
clean,4,12,2,4,3,1,,11,7,97,2,41,25,16,12,1,simplepay-clean-architecture,0,12,0,3,2,2,25,4,3
clean,3,11,2,1,2,1,1,9,4,27,1,,3,8,2,1,simplified-authenticator-spring,1,2,0,2,1,4,8,5,2
clean,5,11,5,15,5,1,,5,25,47,0,,,10,10,1,Simulacion_parque_salitre_magico,0,5,0,5,,3,17,5,5
clean,,9,,0,0,1,,1,5,33,0,,,5,,1,single-cards,0,0,0,3,,4,2,5,3
clean,4,9,4,8,4,1,,32,6,30,2,,,8,6,1,Sistema_HelpDesk_API_Backend,4,4,0,,2,3,2,0,
clean,11,10,12,11,15,1,,17,,78,2,,,21,23,1,SocialMediaPlatform-SpringBoot,5,12,0,15,2,3,2,4,15
clean,6,12,4,4,3,1,5,11,,29,1,,5,2,4,1,socialnetwork-coding-dojo,2,0,17,3,1,6,2,0,3
clean,4,10,,1,3,1,2,8,3,41,2,22,10,8,,1,solid-cqrs-clean-architecture,1,5,0,4,2,4,16,2,4
clean,4,11,2,9,4,1,1,18,18,45,4,,5,10,2,1,sp-clean-architecture,3,3,0,6,4,3,2,4,6
clean,3,11,,4,2,1,1,16,4,40,0,,14,9,,1,sp-clean-architecture-todos,0,9,4,2,,3,2,0,2
clean,2,9,2,1,2,1,1,6,1,29,3,9,4,1,2,1,spring-auth-module,0,0,0,5,3,3,7,1,2
clean,1,9,,0,1,1,1,2,,7,0,,,1,,1,Spring-Boot-Application-REST-API,1,0,0,1,,4,7,0,1
clean,3,11,,1,2,1,1,3,13,23,2,,,1,4,1,spring-boot-base-template,1,0,0,1,1,3,7,0,1
clean,1,9,,0,0,1,1,0,1,6,0,,,0,,1,spring-boot-clean-arch,0,0,0,,,3,4,0,
clean,2,10,,3,1,1,1,4,1,14,1,,1,0,,1,spring-boot-clean-arch-app,0,0,0,4,1,3,4,0,1
clean,10,14,4,47,29,2,,89,7,216,2,84,36,34,8,1,spring-boot-clean-architecture,0,26,0,27,2,6,4,30,27
clean,1,12,1,3,1,1,,1,8,21,1,7,1,3,1,,spring-boot-clean-architecture-,1,0,0,1,1,2,6,2,1
clean,2,11,,2,6,1,,19,,40,0,23,8,12,,1,spring-boot-clean-architecture-auth,2,5,0,5,,3,2,5,5
clean,1,11,,1,6,1,,25,18,51,2,6,13,0,,1,Spring-Boot-Clean-Architecture-Boilerplate,0,0,0,6,2,5,2,0,6
clean,3,10,,1,2,1,1,8,4,17,0,8,,3,,1,spring-boot-clean-architecture-demo,1,2,0,6,,6,1,0,3
clean,,17,1,0,0,0,,0,24,24,0,,,5,10,,spring-boot-clean-architecture-kafka-domain-driven-desing,0,1,0,,,0,10,4,
clean,1,11,1,1,1,1,,3,1,17,0,,1,4,1,1,spring-boot-clean-architecture-main,0,0,4,1,,3,7,4,1
clean,1,10,,1,2,5,,4,4,28,0,,,6,,1,Spring-Boot-Clean-Architecture-master,1,0,2,2,2,17,18,5,2
clean,25,10,1,8,8,1,15,35,13,148,13,,62,17,1,,Spring-Boot-Clean-Architecture-POC,5,4,52,11,12,43,1,11,11
clean,6,13,3,3,1,1,2,5,19,32,1,,,7,32,1,spring-boot-clean-architecture-sample,2,1,0,1,1,6,13,4,1
clean,1,11,3,9,2,1,,9,3,40,4,15,2,9,3,1,spring-boot-clean-architecture-template,1,3,0,2,4,3,11,5,2
clean,1,10,2,2,2,1,,6,2,23,3,,1,4,2,1,spring-boot-clean-architecture-test,0,0,6,3,2,9,7,4,3
clean,1,10,,1,1,1,,1,,8,0,,,1,,,Spring-Boot-Clean-Structure,0,0,0,1,,3,2,1,
clean,2,10,,4,1,1,1,4,1,14,0,,1,0,,1,spring-boot-cleanarch,0,0,0,4,1,3,5,0,1
clean,,10,,0,0,1,,0,,6,0,,,0,,1,spring-boot-cleanarch-client-cli,0,0,0,,,3,2,0,
clean,2,9,4,1,4,3,,7,,19,0,,,6,5,1,spring-boot-crud,1,4,0,3,,9,6,0,3
clean,1,8,,1,1,1,,1,,4,0,,,0,,1,spring-boot-crud-api,0,0,1,1,,2,1,0,1
clean,4,11,11,10,13,11,,76,,82,2,,,15,17,1,Spring-Boot-Cruds,3,11,1,10,1,33,31,0,9
clean,2,12,9,3,4,1,,22,,61,2,,,11,43,1,spring-boot-demo,0,5,12,7,1,8,1,7,3
clean,6,8,3,12,8,1,,18,,52,3,,,6,4,,spring-boot-ecommerce-api,0,3,0,8,2,4,2,2,7
clean,3,11,7,5,4,1,,30,22,73,3,,,11,7,1,spring-boot-example,0,2,0,5,3,6,2,9,5
clean,,6,,0,0,1,,0,,2,0,,,0,,1,spring-boot-hateoas,0,0,0,,,3,2,0,
clean,,7,,0,0,1,,0,,2,0,,,0,,1,spring-boot-hexagon-arch,0,0,0,,,3,2,0,
clean,8,10,,2,4,1,4,13,7,72,4,,10,5,14,1,spring-boot-jpa-api-rest-clean-architecture,4,0,0,6,3,10,37,1,6
clean,,8,4,4,4,1,,4,,18,0,,,8,4,1,spring-boot-jpa-relation-crud-api,4,4,0,4,,3,2,0,4
clean,2,11,1,3,1,1,,4,,27,2,,,5,1,1,spring-boot-jwt-rest-api-clean-architecture,2,2,2,2,1,5,8,2,2
clean,2,9,,2,0,1,,0,,11,1,,,2,,1,Spring-boot-MapStruct-Lombok,2,0,0,,,4,2,0,
clean,6,19,4,4,3,2,3,9,38,80,11,20,,20,80,1,Spring-Boot-Microservices,3,2,0,1,7,9,24,15,1
clean,1,8,1,1,1,1,,2,,7,0,,,1,2,1,spring-boot-patient-app,0,1,0,1,,4,2,0,1
clean,,10,,0,1,4,,2,,36,1,,,10,,1,Spring-boot-projects,0,0,0,3,1,15,35,4,1
clean,,10,2,3,2,1,,3,,12,0,,,4,2,1,spring-boot-QuizzApp,2,2,0,2,,4,2,0,2
clean,1,11,1,1,1,1,,3,4,16,0,,4,2,3,1,spring-boot-rest,0,1,0,1,,3,2,1,1
clean,,10,,0,1,1,,1,,8,0,,,2,2,1,Spring-boot-restFulAPI-Employee-FULL-CRUD-,1,1,0,1,,4,2,0,1
clean,1,10,,1,2,1,,7,,24,2,,3,2,,,spring-boot-sample,0,0,1,2,2,6,3,2,2
clean,2,8,2,10,2,1,,2,,10,0,,,2,2,1,spring-boot-security-iii,0,2,0,2,,3,2,0,2
clean,1,7,1,1,1,1,,3,,6,0,,,1,1,1,spring-boot-software-engineers,0,1,0,1,,3,2,0,1
clean,1,8,1,1,1,1,,2,,6,0,,,2,1,1,spring-boot-student-api,1,1,0,1,,3,2,0,1
clean,,11,1,0,1,1,,4,7,27,2,,,0,2,1,Spring-Boot-template,0,0,0,1,1,2,9,0,1
clean,,10,2,0,2,1,,10,6,28,5,3,2,3,2,1,spring-boot-template-clean-architecture,0,2,0,1,5,5,10,2,1
clean,1,9,1,3,2,1,,4,,12,0,,,3,2,1,spring-boot-todo-app-postgresql,1,1,0,1,,3,2,1,1
clean,1,8,2,1,2,1,,6,,18,3,,,2,3,1,spring-boot-url-shortener,0,2,0,1,3,3,3,0,1
clean,2,8,2,0,0,1,,0,,7,0,,,2,3,,spring-boot-user-demo,1,1,0,,,3,1,0,
clean,,8,2,0,0,1,,0,,7,0,,,2,3,1,spring-boot-user-demo-project,1,1,0,,,2,1,0,
clean,1,13,,9,0,1,,0,18,54,2,10,20,1,,1,spring-boot-with-clean-architecture,0,0,4,,2,3,26,4,
clean,2,11,,1,6,1,1,12,,65,2,,18,5,,1,spring-challenge-api,0,0,0,9,2,4,2,5,9
clean,3,11,2,1,2,1,2,7,13,31,1,,,2,2,1,spring-chat,0,1,0,1,2,9,4,0,1
clean,1,8,1,1,1,1,,9,,6,0,,,2,1,1,spring-clean-api,1,1,6,1,,3,2,0,1
clean,5,11,1,0,1,1,1,5,13,38,0,,18,7,2,1,spring-clean-arch-poc,0,0,0,1,1,4,21,7,1
clean,2,11,1,16,2,1,,6,50,75,0,,7,6,1,,spring-clean-arch-template,2,1,0,1,,3,2,3,1
clean,2,9,,1,1,1,1,5,1,15,1,8,2,0,,1,spring-clean-architecture,0,0,0,1,1,3,5,0,1
clean,1,12,,1,1,1,,1,,16,0,7,,5,,1,spring-clean-architecture-example,1,3,1,1,,3,2,0,1
clean,1,9,2,1,1,1,,1,,7,0,,,1,2,1,spring-clean-tech-api,0,1,0,1,,3,2,0,1
clean,,9,,0,0,0,,0,,7,0,,,1,,,spring-commander,0,0,0,,1,2,,1,
clean,8,9,8,8,9,1,,17,,68,1,,,20,15,1,spring-commerce,8,8,0,8,1,4,2,4,8
clean,17,12,9,9,5,1,6,27,13,97,2,18,9,20,9,1,spring-ewallet,2,9,0,4,2,3,35,9,4
clean,6,20,3,4,3,2,3,14,33,74,11,19,,14,50,1,spring-food-ordering-system,3,1,0,1,7,9,19,10,1
clean,4,10,,3,1,1,,3,2,45,6,,8,8,,1,spring-kafka,1,0,0,5,6,3,2,7,1
clean,4,11,12,2,7,1,,11,,91,6,,,27,28,1,spring-library-solid,4,9,0,10,10,19,1,15,8
clean,1,8,2,1,2,1,,3,,13,0,,,1,2,1,spring-product-demo,0,1,0,2,,5,2,0,2
clean,5,10,6,3,4,1,3,13,2,39,1,,,0,11,1,Spring-Quarkus-Clean-Architecture,0,0,2,,2,3,15,0,
clean,4,10,,5,1,1,2,3,8,18,0,5,3,3,,,spring-reactive-boilerplate,2,1,0,,,5,2,0,
clean,,8,1,1,1,1,,1,,8,1,,,1,1,,spring-security-demo,0,1,0,1,1,3,2,0,1
clean,2,9,2,8,2,1,,4,,15,1,,,3,4,1,Spring-Simple-Clean-Architecture,1,2,2,,1,3,2,0,
clean,3,12,5,28,11,3,,29,9,77,4,,4,15,5,,spring-study,1,6,0,10,4,15,22,8,10
clean,4,12,,1,2,1,2,12,1,21,1,,5,1,,1,spring-tdd-clean-example,0,0,0,7,1,5,1,1,3
clean,6,10,7,5,3,1,2,17,5,30,1,9,,9,10,1,spring-todo,2,5,15,4,1,9,3,1,4
clean,,7,,0,0,1,,0,,2,0,,,0,,1,spring-users-clean-api,0,0,0,,,3,2,0,
clean,,9,1,0,2,0,,9,,20,5,,,3,1,,spring6,1,2,0,1,5,0,1,2,1
clean,1,12,2,4,5,1,,14,20,55,2,15,2,5,2,1,SpringBoot-Angular-cleanArchitecture,0,1,18,2,2,4,2,4,2
clean,1,9,1,2,2,1,,8,,18,0,,,4,2,1,SpringBoot-API-Exception-Handler,1,1,0,2,,4,2,2,1
clean,,10,4,0,5,1,,19,2,24,0,,2,3,4,1,springboot-api-validations,0,2,0,5,1,8,7,1,5
clean,2,9,1,2,2,1,,8,,23,1,,,5,2,1,springboot-app-auth,2,1,2,2,1,4,2,2,2
clean,,9,8,8,7,1,,9,,62,1,,,16,14,1,springboot-blog-api,0,8,0,6,1,3,2,8,6
clean,4,11,5,7,5,1,,9,,53,1,,,11,5,1,SpringBoot-BookApp,0,4,0,13,1,3,2,7,9
clean,9,11,9,80,10,1,,18,,97,1,,,18,18,1,springboot-church-api,9,9,0,9,1,3,2,0,9
clean,4,11,,4,1,1,,3,2,45,6,,8,8,,1,SpringBoot-Clean-Architecture,1,0,0,5,6,3,2,7,1
clean,2,12,,9,3,1,,6,33,83,4,26,24,1,,1,springboot-clean-architecture-boilerplate,0,0,0,3,5,6,31,2,1
clean,3,10,1,3,4,5,,14,7,42,1,,,10,2,1,SpringBoot-Clean-Architecture-JWT-Security,3,1,4,4,2,15,16,6,4
clean,5,8,1,5,5,1,,7,,20,2,,,6,1,1,springboot-clean-architecture-template,0,1,0,5,2,3,2,0,5
clean,6,10,2,16,4,1,2,10,17,55,1,18,3,12,3,1,springboot-cleanarch-template,0,6,0,15,1,3,5,6,3
clean,4,10,3,2,2,1,,4,4,15,2,7,2,3,3,1,SpringBoot-CleanArchitecture-CRUD-JPA-SqlServer,2,1,0,2,2,3,5,0,2
clean,4,9,2,8,2,1,2,2,4,23,1,,,6,4,1,springboot-core-rest-api,2,2,0,4,1,9,2,2,4
clean,1,12,1,1,1,1,,1,3,12,0,1,,2,2,1,springboot-crud,1,1,0,1,,3,3,0,1
clean,1,9,1,1,1,1,,1,,10,1,,,1,2,1,Springboot-crud-dto-architecture,0,1,0,1,1,3,2,0,1
clean,,9,2,0,2,1,,12,,14,0,,,2,2,1,springboot-customer-api,0,2,0,2,,2,2,0,2
clean,2,8,2,2,2,1,,5,,18,0,,,5,2,1,springboot-delivery-optimization,2,2,0,2,,3,18,1,2
clean,,7,,0,0,1,,0,,2,0,,,0,,1,springboot-demo,0,0,0,,,3,2,0,
clean,10,9,8,36,7,1,,17,,70,2,,,17,15,1,Springboot-ecommerce-api,5,8,0,6,2,4,2,4,5
clean,1,9,1,1,2,1,,3,,10,0,,,1,2,1,springboot-exception-handling-api,0,1,0,1,,3,2,0,1
clean,5,9,2,7,0,1,,0,,17,0,,,3,2,1,springboot-jpa-hospital-app,0,2,0,,,5,2,0,
clean,,11,22,25,20,10,,39,,111,2,,,27,38,1,SpringBoot-Projects,10,16,0,19,2,30,30,0,19
clean,1,10,1,1,1,1,,2,,12,0,,,1,2,1,springboot-rest-api,0,1,1,1,,4,2,0,1
clean,2,8,1,4,2,1,,13,,19,1,,,3,1,1,Springboot-REST-API-Template,2,1,0,2,1,4,2,1,2
clean,,8,1,0,2,1,,3,,11,0,,,2,2,1,springboot-rest-crud-employee,1,1,0,1,,3,2,0,1
clean,2,10,3,2,6,1,,31,,22,1,,,1,22,1,springBoot-RESTApi-cleanArchitecture,0,0,0,5,1,3,2,1,5
clean,1,8,1,0,1,1,1,5,,5,0,,,2,1,1,springboot-shoppingmall,1,1,0,1,,2,1,0,1
clean,1,10,,3,2,1,,6,2,16,0,,,2,1,1,SpringBootAPIDDD,0,1,3,2,,3,5,1,2
clean,4,10,,3,1,1,,3,2,45,6,,8,8,,1,SpringBootCleanArchitecture,1,0,0,5,6,4,2,7,1
clean,2,8,2,0,3,1,1,4,,9,1,,,2,3,,springbootcrud,1,1,0,1,1,2,,0,1
clean,,6,,0,0,0,,0,,6,0,,,0,,,SpringBootCurdOperaions,0,0,0,,,0,,0,
clean,1,8,1,0,1,1,1,1,,6,0,,,2,1,1,SpringBootDemoProject,1,1,0,1,,3,2,1,1
